"name"|"comment"|"dataTypeId"|"isRule"
"Date"|"日期"|"10"|"true"
"no"|"编号"|"1"|"true"
"Ids"|"ids"|"14"|"true"
"Id"|""|"1"|"true"
"attachments"|""|"14"|"true"
"email"|"邮箱"|"8"|"true"
""|"简介"|"8"|"true"
""|"联系"|"8"|"true"
"date"|"日期"|"10"|"true"
""|"时间"|"6"|"true"
"remark"|"备注"|"8"|"true"
"gender"|"性别"|"5"|"true"
"type"|""|"2"|"true"
"passportNO"|"护照号"|"4"|"true"
"address"|"住址"|"4"|"true"
"name"|"名称"|"4"|"true"
"name"|"人"|"4"|"true"
"code"|""|"1"|"true"
""|"航区"|"4"|"true"
""|"描述"|"8"|"true"
"defaultValue"|"默认"|"8"|"true"
""|"民族"|"4"|"true"
"Name"|"名"|"8"|"true"
"icon"|""|"8"|"true"
"content"|""|"8"|"true"
"organization"|"机构"|"8"|"true"
"source"|"来源"|"8"|"true"
""|"原因"|"16"|"true"
"num"|"量"|"1"|"true"
""|"时长"|"1"|"true"
""|"类型"|"8"|"true"
""|"意见"|"16"|"true"
""|"结点"|"14"|"true"
""|"说明"|"16"|"true"
"index"|""|"1"|"true"
""|"天数"|"1"|"true"
""|"长"|"1"|"true"
""|"宽"|"1"|"true"
""|"高"|"1"|"true"
""|"深"|"1"|"true"
""|"工资"|"1"|"true"
""|"汇率"|"1"|"true"
""|"价格"|"1"|"true"
""|"吨"|"1"|"true"
""|"船速"|"1"|"true"
""|"要求"|"16"|"true"
"order"|"排序"|"1"|"true"
"Score"|"评分"|"1"|"true"
"cost"|"费用"|"1"|"true"
"political"|"政治面貌"|"4"|"true"
"nationality"|"国籍"|"4"|"true"
"is"|"是否"|"5"|"true"
"db"|""|"4"|"true"
"birthPlace"|"出生地"|"8"|"true"
"Img"|"路径"|"8"|"true"
""|"总数"|"1"|"true"
""|"协议"|"16"|"true"
""|"颜色"|"4"|"true"
""|"地址"|"4"|"true"
""|"布尔"|"5"|"true"
"url"|"url"|"16"|"true"
""|"周期"|"8"|"true"
""|"方法"|"8"|"true"
""|"对象"|"8"|"true"
""|"项目"|"8"|"true"
"transferWay"|"调拨来源"|"2"|"false"
"Number"|""|"1"|"true"
